[DOMAIN:标签] [CAT:物品/动物] mammal | 哺乳动物
[DOMAIN:标签] [CAT:物品/其他物品] lost_technology | 失落科技
[DOMAIN:标签] [CAT:物品/动物] platypus | 鸭嘴兽
[DOMAIN:标签] [CAT:物品/数码设备] f-35_lightning_ii | F-35闪电II
[DOMAIN:标签] [CAT:物品/其他物品] compass_rose | 罗盘玫瑰
[DOMAIN:标签] [CAT:物品/其他物品] potion_(pokemon) | 伤药 (宝可梦)
[DOMAIN:标签] [CAT:物品/动物] yeti_(creature) | 雪怪（生物）
[DOMAIN:标签] [CAT:物品/其他物品] ice_pikmin | 冰皮克敏
[DOMAIN:标签] [CAT:物品/武器] micro_uzi | 微型乌兹
[DOMAIN:标签] [CAT:物品/其他物品] stilts | 高跷
[DOMAIN:标签] [CAT:物品/食物] blue_apple | 青苹果
[DOMAIN:标签] [CAT:物品/其他物品] yoshi_egg | 耀西蛋
[DOMAIN:标签] [CAT:物品/数码设备] xtransceiver | X传输器
[DOMAIN:标签] [CAT:物品/其他物品] sunagakure_symbol | 砂隐村标志
[DOMAIN:标签] [CAT:物品/武器] battletech | 战斗科技
[DOMAIN:标签] [CAT:物品/武器] guntank | 钢坦克
[DOMAIN:标签] [CAT:物品/武器] carrier | 航空母舰
[DOMAIN:标签] [CAT:物品/植物] snowdrop_(flower) | 雪花莲（花）
[DOMAIN:标签] [CAT:物品/其他物品] holding_compact | 手持粉盒
[DOMAIN:标签] [CAT:物品/其他物品] froth | 泡沫
[DOMAIN:标签] [CAT:物品/其他物品] gynecology_chair | 妇科检查椅
[DOMAIN:标签] [CAT:物品/食物] apollo_chocolate | 阿波罗巧克力
[DOMAIN:标签] [CAT:物品/其他物品] quilt | 绗缝被
[DOMAIN:标签] [CAT:物品/其他物品] nail_polish_brush | 指甲油刷
[DOMAIN:标签] [CAT:物品/食物] mousse_(food) | 慕斯（食品）
[DOMAIN:标签] [CAT:物品/动物] blue_dragon | 青龙
[DOMAIN:标签] [CAT:物品/其他物品] transparent_seat | 透明座椅
[DOMAIN:标签] [CAT:物品/数码设备] google_chrome | 谷歌浏览器
[DOMAIN:标签] [CAT:物品/植物] oversized_plant | 巨型植物
[DOMAIN:标签] [CAT:物品/其他物品] pink_liquid | 粉色液体
[DOMAIN:标签] [CAT:物品/其他物品] clippers | 快船
[DOMAIN:标签] [CAT:物品/食物] strawberry_pocky | 草莓百奇
[DOMAIN:标签] [CAT:物品/其他物品] bisexual_flag | 双性恋旗帜
[DOMAIN:标签] [CAT:排除/媒体噪音] copyright_logo | 版权标识
[DOMAIN:标签] [CAT:物品/武器] matchlock | 火绳枪
[DOMAIN:标签] [CAT:物品/其他物品] rugby_ball | 橄榄球
[DOMAIN:标签] [CAT:物品/武器] m16a4 | M16A4步枪
[DOMAIN:标签] [CAT:物品/动物] raptor | 猛禽
[DOMAIN:标签] [CAT:物品/其他物品] dummy | 假人
[DOMAIN:标签] [CAT:物品/动物] hisuian_braviary | 洗翠勇士雄鹰
[DOMAIN:标签] [CAT:物品/其他物品] perfume_(cosmetics) | 香水（化妆品）
[DOMAIN:标签] [CAT:物品/其他物品] passport | 护照
[DOMAIN:标签] [CAT:物品/其他物品] iron_maiden | 铁处女
[DOMAIN:标签] [CAT:物品/动物] relicanth | 古空棘鱼
[DOMAIN:标签] [CAT:物品/其他物品] record_jacket | 唱片封套
[DOMAIN:标签] [CAT:物品/其他物品] dodgeball | 躲避球
[DOMAIN:标签] [CAT:物品/动物] siamese_fighting_fish | 暹罗斗鱼
[DOMAIN:标签] [CAT:物品/武器] derringer | 德林格手枪
[DOMAIN:标签] [CAT:物品/成人玩具] spider_gag | 蜘蛛口球
[DOMAIN:标签] [CAT:物品/其他物品] lacrosse | 长曲棍球
[DOMAIN:标签] [CAT:物品/其他物品] the_moon_(tarot) | 月亮（塔罗）
[DOMAIN:标签] [CAT:物品/数码设备] unworn_headphones | 未佩戴耳机
[DOMAIN:标签] [CAT:物品/食物] gingerbread_house | 姜饼屋
[DOMAIN:标签] [CAT:物品/动物] poodle | 贵宾犬
[DOMAIN:标签] [CAT:物品/食物] nagashi_soumen | 流水素面
[DOMAIN:标签] [CAT:物品/其他物品] garrote | 绞杀
[DOMAIN:标签] [CAT:物品/其他物品] two-tone_umbrella | 双色伞
[DOMAIN:标签] [CAT:物品/食物] hot_dog_bun | 热狗面包
[DOMAIN:标签] [CAT:物品/其他物品] field_radio | 野战无线电
[DOMAIN:标签] [CAT:物品/其他物品] dynamax_ball | 极巨球
[DOMAIN:标签] [CAT:物品/学习用品] pop-up_book | 立体书
[DOMAIN:标签] [CAT:物品/武器] sawed-off_shotgun | 锯短型霰弹枪
[DOMAIN:标签] [CAT:物品/其他物品] character_pin | 角色徽章
[DOMAIN:标签] [CAT:物品/武器] sode_no_shirayuki_(shikai) | 袖白雪始解
[DOMAIN:标签] [CAT:物品/食物] old-fashioned_doughnut | 传统甜甜圈
[DOMAIN:标签] [CAT:物品/其他物品] bird_skull | 鸟类头骨
[DOMAIN:标签] [CAT:物品/武器] colt_revolver_(girls'_frontline) | 柯尔特左轮（少女前线）
[DOMAIN:标签] [CAT:物品/武器] gunlance | 铳枪
[DOMAIN:标签] [CAT:物品/数码设备] beats_by_dr._dre | 博士耳机
[DOMAIN:标签] [CAT:物品/武器] gasterblaster | 盖斯特冲击炮
[DOMAIN:标签] [CAT:物品/动物] rabbit_on_shoulder | 肩部垂兔
[DOMAIN:标签] [CAT:物品/植物] pitcher_plant | 猪笼草
[DOMAIN:标签] [CAT:物品/其他物品] compass_(instrument) | 罗盘（仪器）
[DOMAIN:标签] [CAT:物品/其他物品] open_poke_ball | 打开的精灵球
[DOMAIN:标签] [CAT:物品/乐器] bugle | 军号
[DOMAIN:标签] [CAT:物品/武器] ragnarok_(demon_sword) | 诸神黄昏（魔剑）
[DOMAIN:标签] [CAT:物品/其他物品] ignite_module | 点火模块
[DOMAIN:标签] [CAT:物品/动物] narwhal | 独角鲸
[DOMAIN:标签] [CAT:物品/其他物品] pyro_symbol_(genshin_impact) | 火元素符号（原神）
[DOMAIN:标签] [CAT:物品/武器] space_sword | 太空剑
[DOMAIN:标签] [CAT:物品/动物] hiroshima_touyou_carp | 广岛东洋鲤鱼
[DOMAIN:标签] [CAT:物品/其他物品] breeding_mount | 配种架
[DOMAIN:标签] [CAT:物品/其他物品] red_sheet | 红色床单
[DOMAIN:标签] [CAT:物品/其他物品] lego_brick | 乐高积木
[DOMAIN:标签] [CAT:物品/学习用品] picture_book | 图画书
[DOMAIN:标签] [CAT:物品/食物] tabasco | 塔巴斯科辣酱
[DOMAIN:标签] [CAT:物品/其他物品] tin_can | 锡罐
[DOMAIN:标签] [CAT:物品/其他物品] mitsubishi_lancer_evolution | 三菱蓝瑟翼豪陆神
[DOMAIN:标签] [CAT:物品/其他物品] nameplate | 名牌
[DOMAIN:标签] [CAT:物品/武器] yoru_(sword) | 夜（刀）
[DOMAIN:标签] [CAT:物品/动物] pringle_duck | 普林格鸭
[DOMAIN:标签] [CAT:物品/食物] bun_(food) | 包子（食品）
[DOMAIN:标签] [CAT:物品/武器] desert_tech_mdr | 沙漠科技MDR
[DOMAIN:标签] [CAT:物品/武器] staff_of_the_scarlet_sands_(genshin_impact) | 赤沙之杖（原神）
[DOMAIN:标签] [CAT:物品/其他物品] massage_chair | 按摩椅
[DOMAIN:标签] [CAT:物品/乐器] guitar_strap | 吉他背带
[DOMAIN:标签] [CAT:物品/其他物品] barber_pole | 理发店旋转灯柱
[DOMAIN:标签] [CAT:物品/其他物品] shoe_box | 鞋盒
[DOMAIN:标签] [CAT:物品/其他物品] totem | 图腾
[DOMAIN:标签] [CAT:物品/其他物品] infinity_gauntlet | 无限手套
[DOMAIN:标签] [CAT:物品/武器] sword_hilt | 剑柄
[DOMAIN:标签] [CAT:物品/其他物品] cradle | 摇篮
[DOMAIN:标签] [CAT:排除/媒体噪音] media_player_interface | 媒体播放器界面
[DOMAIN:标签] [CAT:物品/成人玩具] food_dildo | 食物假阳具
[DOMAIN:标签] [CAT:物品/其他物品] reversi | 黑白棋
[DOMAIN:标签] [CAT:物品/其他物品] okamochi_(container) | 冈持（容器）
[DOMAIN:标签] [CAT:物品/其他物品] spoken_letter | 口述信函
[DOMAIN:标签] [CAT:物品/其他物品] spoken_flower | 会说话的花
[DOMAIN:标签] [CAT:物品/成人玩具] rope_gag | 绳索口塞
[DOMAIN:标签] [CAT:物品/其他物品] cotton_ball | 棉球
[DOMAIN:标签] [CAT:物品/食物] donburi | 丼饭
[DOMAIN:标签] [CAT:物品/其他物品] bismarck_(coat_of_arms) | 俾斯麦（纹章）
[DOMAIN:标签] [CAT:物品/其他物品] pilder | 飞鹰号
[DOMAIN:标签] [CAT:物品/武器] nambu_type_14 | 南部十四式
[DOMAIN:标签] [CAT:物品/武器] bow_(paper_mario) | 弓箭（纸片马里奥）
[DOMAIN:标签] [CAT:物品/其他物品] too_many_bandaids | 过多创可贴
[DOMAIN:标签] [CAT:物品/其他物品] strip_mahjong | 脱衣麻将
[DOMAIN:标签] [CAT:物品/其他物品] inflatable_flamingo | 充气火烈鸟
[DOMAIN:标签] [CAT:物品/其他物品] toyota_86 | 丰田86
[DOMAIN:标签] [CAT:物品/其他物品] fiat_500 | 菲亚特500
[DOMAIN:标签] [CAT:物品/动物] jackal | 豺狼
[DOMAIN:标签] [CAT:物品/其他物品] gwent_(game) | 昆特牌（游戏）
[DOMAIN:标签] [CAT:物品/数码设备] iphone_11_pro | iPhone 11 Pro
[DOMAIN:标签] [CAT:物品/其他物品] tractor | 拖拉机
[DOMAIN:标签] [CAT:物品/其他物品] neon_sign | 霓虹灯招牌
[DOMAIN:标签] [CAT:物品/其他物品] double_driver | 双重驱动器
[DOMAIN:标签] [CAT:排除/媒体噪音] super_smash_bros._logo | 任天堂明星大乱斗标志
[DOMAIN:标签] [CAT:物品/其他物品] against_locker | 对抗储物柜
[DOMAIN:标签] [CAT:物品/动物] afghan_hound | 阿富汗猎犬
[DOMAIN:标签] [CAT:排除/媒体噪音] bilibili_logo | Bilibili标志
[DOMAIN:标签] [CAT:物品/其他物品] tape_censor | 贴条审查
[DOMAIN:标签] [CAT:排除/媒体噪音] swedish_text | 瑞典语文本
[DOMAIN:标签] [CAT:物品/其他物品] supermarine_spitfire | 超级海事喷火战斗机
[DOMAIN:标签] [CAT:物品/食物] buri_hamachi | 鰤鱼与魬鱼
[DOMAIN:标签] [CAT:物品/数码设备] hayabusa_(spacecraft) | 隼鸟号（航天器）
[DOMAIN:标签] [CAT:物品/其他物品] chevrolet_corvette | 雪佛兰科尔维特
[DOMAIN:标签] [CAT:物品/其他物品] finish_line | 终点线
[DOMAIN:标签] [CAT:物品/武器] is-2 | IS-2重型坦克
[DOMAIN:标签] [CAT:物品/食物] buta_no_liver_wa_kanetsu_shiro | 猪肝热腾腾
[DOMAIN:标签] [CAT:物品/食物] strawberry_tart | 草莓挞
[DOMAIN:标签] [CAT:物品/动物] sea_lion | 海狮
[DOMAIN:标签] [CAT:物品/动物] dalmatian | 大麦町犬
[DOMAIN:标签] [CAT:物品/动物] nickit | 偷儿狐
[DOMAIN:标签] [CAT:物品/食物] espresso_cookie | 浓缩咖啡饼干
[DOMAIN:标签] [CAT:物品/食物] roasted_marshmallow | 烤棉花糖
[DOMAIN:标签] [CAT:物品/其他物品] graph_(object) | 图表（对象）
[DOMAIN:标签] [CAT:物品/数码设备] bladeless_fan | 无叶风扇
[DOMAIN:标签] [CAT:物品/成人玩具] sybian | 赛比亚鞍
[DOMAIN:标签] [CAT:物品/武器] epee | 重剑
[DOMAIN:标签] [CAT:物品/食物] apple_peel | 苹果皮
[DOMAIN:标签] [CAT:物品/其他物品] mygrimoire | 我的魔导书
[DOMAIN:标签] [CAT:物品/其他物品] the_sun_(tarot) | 太阳（塔罗牌）
[DOMAIN:标签] [CAT:物品/其他物品] clasp | 扣环
[DOMAIN:标签] [CAT:物品/其他物品] powder_puff | 粉扑
[DOMAIN:标签] [CAT:物品/其他物品] house_of_cards | 纸牌屋
[DOMAIN:标签] [CAT:物品/其他物品] facehugger | 抱脸虫
[DOMAIN:标签] [CAT:排除/媒体噪音] discord_logo | Discord标志
[DOMAIN:标签] [CAT:物品/其他物品] taxidermy | 动物标本剥制术
[DOMAIN:标签] [CAT:物品/其他物品] playstation_symbols | PlayStation符号
[DOMAIN:标签] [CAT:物品/其他物品] shoe_print | 鞋印
[DOMAIN:标签] [CAT:物品/动物] anteater | 食蚁兽
[DOMAIN:标签] [CAT:物品/其他物品] car_keys | 车钥匙
[DOMAIN:标签] [CAT:物品/武器] chain_whip | 链鞭
[DOMAIN:标签] [CAT:排除/其他] the_hanged_man_(tarot) | 倒吊人（塔罗牌）
[DOMAIN:标签] [CAT:物品/食物] tonkatsu | 炸猪排
[DOMAIN:标签] [CAT:物品/动物] pelican | 鹈鹕
[DOMAIN:标签] [CAT:物品/其他物品] nissan_gt-r | 日产GT-R
[DOMAIN:标签] [CAT:物品/食物] stargazy_pie | 观星派
[DOMAIN:标签] [CAT:物品/其他物品] religious_offering | 宗教供品
[DOMAIN:标签] [CAT:物品/其他物品] kick_scooter | 滑板车
[DOMAIN:标签] [CAT:物品/动物] crayfish | 小龙虾
[DOMAIN:标签] [CAT:物品/其他物品] toilet_seat | 马桶座圈
[DOMAIN:标签] [CAT:物品/其他物品] justice_(tarot) | 正义（塔罗牌）
[DOMAIN:标签] [CAT:物品/其他物品] pisces_(zodiac) | 双鱼座（星座）
[DOMAIN:标签] [CAT:物品/动物] furfrou_(natural) | 长毛狗（自然形态）
[DOMAIN:标签] [CAT:物品/其他物品] rasengan | 螺旋丸
[DOMAIN:标签] [CAT:物品/动物] java_sparrow | 爪哇雀
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_turtle | 毛绒龟
[DOMAIN:标签] [CAT:物品/武器] winged_sword | 羽翼剑
[DOMAIN:标签] [CAT:物品/其他物品] baseball_base | 棒球垒包
[DOMAIN:标签] [CAT:物品/其他物品] host_(obj_shep) | 宿主（obj谢普）
[DOMAIN:标签] [CAT:物品/其他物品] sagittarius_(zodiac) | 射手座（星座）
[DOMAIN:标签] [CAT:物品/其他物品] medium_tank | 中型坦克
[DOMAIN:标签] [CAT:排除/兽化非人] robot_fish | 机器鱼
[DOMAIN:标签] [CAT:物品/武器] stylet | 短剑
[DOMAIN:标签] [CAT:物品/其他物品] candy_jar | 糖果罐
[DOMAIN:标签] [CAT:物品/其他物品] umbilical_cord | 脐带
[DOMAIN:标签] [CAT:物品/其他物品] thumbtack | 图钉
[DOMAIN:标签] [CAT:物品/其他物品] spare_tire | 备胎
[DOMAIN:标签] [CAT:物品/动物] leopon_(animal) | 豹狮（动物）
[DOMAIN:标签] [CAT:物品/其他物品] hand_saw | 手锯
[DOMAIN:标签] [CAT:物品/其他物品] obelisk | 方尖碑
[DOMAIN:标签] [CAT:物品/其他物品] marriage_certificate | 结婚证书
[DOMAIN:标签] [CAT:物品/成人玩具] dental_gag | 牙科张口器
[DOMAIN:标签] [CAT:物品/其他物品] rabbit_charm | 兔子护符
[DOMAIN:标签] [CAT:物品/其他物品] pee_pad | 尿垫
[DOMAIN:标签] [CAT:物品/其他物品] bait | 诱饵
[DOMAIN:标签] [CAT:物品/其他物品] refrigerator_magnet | 冰箱贴
[DOMAIN:标签] [CAT:物品/其他物品] aperture_science_weighted_companion_cube | 光圈科技加权伴行立方体
[DOMAIN:标签] [CAT:物品/其他物品] syringe_holster | 注射器枪套
[DOMAIN:标签] [CAT:物品/其他物品] pop-up_pirate | 弹跳海盗
[DOMAIN:标签] [CAT:物品/食物] sukiyaki | 寿喜烧
[DOMAIN:标签] [CAT:物品/植物] lobelia_(flower) | 山梗菜（花）
[DOMAIN:标签] [CAT:物品/数码设备] loading_icon | 加载图标
[DOMAIN:标签] [CAT:物品/其他物品] clothes_iron | 熨斗
[DOMAIN:标签] [CAT:物品/其他物品] horn_speaker | 号角扬声器
[DOMAIN:标签] [CAT:物品/其他物品] cat_o-ring | 猫咪O形环
[DOMAIN:标签] [CAT:物品/其他物品] drill_hand | 钻头手
[DOMAIN:标签] [CAT:物品/其他物品] lasso_of_truth | 真言套索
[DOMAIN:标签] [CAT:物品/其他物品] cookie_clicker | 饼干点击器
[DOMAIN:标签] [CAT:物品/动物] mammoth | 猛犸象
[DOMAIN:标签] [CAT:物品/武器] r-99_smg | R-99冲锋枪
[DOMAIN:标签] [CAT:物品/其他物品] leaf_fan | 葉扇
[DOMAIN:标签] [CAT:排除/兽化非人] robot_bird | 机器鸟
[DOMAIN:标签] [CAT:物品/武器] adaptive_combat_rifle | 自适应战斗步枪
[DOMAIN:标签] [CAT:物品/植物] dead_plants | 枯死植物
[DOMAIN:标签] [CAT:物品/成人玩具] otn_gag | OTN口塞
[DOMAIN:标签] [CAT:物品/动物] armadillo | 犰狳
[DOMAIN:标签] [CAT:物品/武器] gundam_gp-02_physalis | 高达GP02酸浆果
[DOMAIN:标签] [CAT:物品/其他物品] gumball_machine | 扭蛋机
[DOMAIN:标签] [CAT:物品/武器] vsk-94 | VSK-94冲锋枪
[DOMAIN:标签] [CAT:物品/其他物品] pipe_bomb | 管道炸弹
[DOMAIN:标签] [CAT:物品/其他物品] arrow_through_apple | 箭穿苹果
[DOMAIN:标签] [CAT:物品/武器] fujin_yumi_(fire_emblem) | 风神弓（火焰纹章）
[DOMAIN:标签] [CAT:物品/其他物品] ring_fit_trainee | 健身环学员
[DOMAIN:标签] [CAT:物品/食物] tropical_liquor | 热带利口酒
[DOMAIN:标签] [CAT:物品/数码设备] google_maps | 谷歌地图
[DOMAIN:标签] [CAT:物品/食物] berry's | 浆果坊
[DOMAIN:标签] [CAT:物品/其他物品] yellow_heart | 黄色心形
[DOMAIN:标签] [CAT:物品/其他物品] skull_cup | 骷髅杯
[DOMAIN:标签] [CAT:物品/其他物品] fish_bottle | 鱼形瓶
[DOMAIN:标签] [CAT:物品/食物] oolong | 乌龙
[DOMAIN:标签] [CAT:物品/动物] pharaoh_(cat) | 法老（猫）
[DOMAIN:标签] [CAT:物品/其他物品] love_potion | 爱情魔药
[DOMAIN:标签] [CAT:物品/其他物品] force_field | 力场
[DOMAIN:标签] [CAT:物品/动物] black_rose_dragon | 黑蔷薇龙
[DOMAIN:标签] [CAT:物品/植物] traptrix_rafflesia | 捕食植物 桑德里亚花
[DOMAIN:标签] [CAT:物品/其他物品] wheel_of_fortune_(tarot) | 命运之轮（塔罗牌）
[DOMAIN:标签] [CAT:物品/食物] chinese_food | 中华料理
[DOMAIN:标签] [CAT:物品/其他物品] trap_door | 活板门
[DOMAIN:标签] [CAT:物品/其他物品] plaque | 牌匾
[DOMAIN:标签] [CAT:物品/其他物品] nursery_rhyme | 童谣
[DOMAIN:标签] [CAT:物品/其他物品] mascara_wand | 睫毛膏刷
[DOMAIN:标签] [CAT:物品/数码设备] microphone_cord | 麦克风线
[DOMAIN:标签] [CAT:物品/其他物品] lego_minifig | 乐高小人
[DOMAIN:标签] [CAT:物品/武器] frigate_(eve_online) | 护卫舰（星战前夜）
[DOMAIN:标签] [CAT:物品/武器] glowing_arrow | 发光箭矢
[DOMAIN:标签] [CAT:物品/食物] chocolate_icing | 巧克力糖霜
[DOMAIN:标签] [CAT:物品/其他物品] disassembly | 拆解
[DOMAIN:标签] [CAT:物品/其他物品] ring_(ring_fit_adventure) | 灵环（健身环大冒险）
[DOMAIN:标签] [CAT:物品/其他物品] gas_pump | 汽油泵
[DOMAIN:标签] [CAT:物品/其他物品] drawn_crown | 手绘王冠
[DOMAIN:标签] [CAT:物品/动物] shiinotic | 灯罩夜菇
[DOMAIN:标签] [CAT:排除/猎奇血腥] sliced_meat | 肉片
[DOMAIN:标签] [CAT:物品/食物] amazake_(drink) | 甘酒（饮品）
[DOMAIN:标签] [CAT:物品/动物] moose | 驼鹿
[DOMAIN:标签] [CAT:物品/其他物品] oversized_spoon | 超大勺子
[DOMAIN:标签] [CAT:物品/其他物品] wet_floor_sign | 小心地滑
[DOMAIN:标签] [CAT:物品/食物] soumen | 素面
[DOMAIN:标签] [CAT:物品/其他物品] sarcophagus | 石棺
[DOMAIN:标签] [CAT:物品/动物] black_rabbit_(animal) | 黑兔（动物）
[DOMAIN:标签] [CAT:物品/其他物品] rex_genome | 霸王龙基因组
[DOMAIN:标签] [CAT:物品/其他物品] gas_pump_nozzle | 油枪喷嘴
[DOMAIN:标签] [CAT:物品/其他物品] raise_buckle | 升级带扣
[DOMAIN:标签] [CAT:物品/其他物品] the_hermit_(tarot) | 隐者（塔罗牌）
[DOMAIN:标签] [CAT:物品/其他物品] stadiometer | 身高测量仪
[DOMAIN:标签] [CAT:物品/其他物品] liquid-in-glass_thermometer | 玻璃液体温度计
[DOMAIN:标签] [CAT:物品/武器] arquebus | 火绳枪
[DOMAIN:标签] [CAT:物品/其他物品] delorean | 德罗宁
[DOMAIN:标签] [CAT:物品/动物] armored_animal | 装甲动物
[DOMAIN:标签] [CAT:物品/其他物品] lifestream | 生命之流
[DOMAIN:标签] [CAT:物品/其他物品] death_(tarot) | 死神（塔罗牌）
[DOMAIN:标签] [CAT:物品/武器] fim-92_stinger | FIM-92毒刺导弹
[DOMAIN:标签] [CAT:物品/其他物品] tanning_oil | 美黑油
[DOMAIN:标签] [CAT:物品/其他物品] english_flag | 英格兰旗帜
[DOMAIN:标签] [CAT:物品/其他物品] at_field | AT力场
[DOMAIN:标签] [CAT:物品/其他物品] power_tool | 电动工具
[DOMAIN:标签] [CAT:物品/食物] potato_wedges | 薯角
[DOMAIN:标签] [CAT:物品/其他物品] iris_libre_(emblem) | 自由鸢尾（徽章）
[DOMAIN:标签] [CAT:物品/武器] dead_spike | 死亡尖刺
[DOMAIN:标签] [CAT:物品/其他物品] porcelain | 瓷器
[DOMAIN:标签] [CAT:物品/武器] fuuma_shuriken | 风魔手里剑
[DOMAIN:标签] [CAT:物品/动物] papillon_(dog) | 巴比龙（犬）
[DOMAIN:标签] [CAT:物品/其他物品] the_emperor_(tarot) | 皇帝（塔罗牌）
[DOMAIN:标签] [CAT:物品/食物] tiramisu | 提拉米苏
[DOMAIN:标签] [CAT:物品/其他物品] drum_bath | 鼓式浴缸
[DOMAIN:标签] [CAT:物品/食物] strawberry_crepe_cookie | 草莓可丽饼干
[DOMAIN:标签] [CAT:物品/植物] gossifleur | 幼棉棉
[DOMAIN:标签] [CAT:物品/其他物品] surgical_scissors | 手术剪
[DOMAIN:标签] [CAT:物品/其他物品] nutcracker | 胡桃夹子
[DOMAIN:标签] [CAT:物品/其他物品] louis_vuitton_(brand) | 路易威登（品牌）
[DOMAIN:标签] [CAT:物品/食物] double_popsicle | 双棒冰
[DOMAIN:标签] [CAT:物品/乐器] orchestra | 管弦乐队
[DOMAIN:标签] [CAT:物品/其他物品] monobloc_(chair) | 一体式（座椅）
[DOMAIN:标签] [CAT:物品/动物] okapi_tail | 㺢㹢狓尾巴
[DOMAIN:标签] [CAT:物品/其他物品] honda_nsx | 本田NSX
[DOMAIN:标签] [CAT:物品/其他物品] grater | 研磨器
[DOMAIN:标签] [CAT:物品/其他物品] dating_sim | 恋爱模拟游戏
[DOMAIN:标签] [CAT:物品/其他物品] canoe | 独木舟
[DOMAIN:标签] [CAT:物品/动物] akabeko | 赤牛
[DOMAIN:标签] [CAT:物品/学习用品] book_of_the_azure_sky | 苍穹之书
[DOMAIN:标签] [CAT:物品/其他物品] chemicals | 化学品
[DOMAIN:标签] [CAT:物品/其他物品] ice_shaver | 刨冰机
[DOMAIN:标签] [CAT:物品/数码设备] polaroid_camera | 拍立得相机
[DOMAIN:标签] [CAT:物品/数码设备] tape_recorder | 磁带录音机
[DOMAIN:标签] [CAT:物品/其他物品] amber_(gemstone) | 琥珀（宝石）
[DOMAIN:标签] [CAT:物品/乐器] bands | 乐队
[DOMAIN:标签] [CAT:物品/武器] magitek_armor | 魔导装甲
[DOMAIN:标签] [CAT:物品/其他物品] convenient_hand | 便利之手
[DOMAIN:标签] [CAT:物品/其他物品] world_map | 世界地图
[DOMAIN:标签] [CAT:物品/其他物品] heineken | 喜力
[DOMAIN:标签] [CAT:物品/其他物品] pumpkin_basket | 南瓜篮
[DOMAIN:标签] [CAT:物品/武器] m1_abrams | M1艾布拉姆斯
[DOMAIN:标签] [CAT:物品/其他物品] wooden_beam | 木梁
[DOMAIN:标签] [CAT:物品/武器] steyr_iws_2000 | 斯泰尔 IWS 2000
[DOMAIN:标签] [CAT:物品/食物] tomato_juice | 番茄汁
[DOMAIN:标签] [CAT:物品/数码设备] purah_pad | 普拉希平板
[DOMAIN:标签] [CAT:物品/其他物品] mold | 模具
[DOMAIN:标签] [CAT:物品/武器] claymore_(sword) | 阔剑（武器）
[DOMAIN:标签] [CAT:物品/食物] cheese_wheel | 奶酪轮
[DOMAIN:标签] [CAT:物品/动物] leech | 水蛭
[DOMAIN:标签] [CAT:物品/武器] lagombi_(armor) | 白兔兽（盔甲）
[DOMAIN:标签] [CAT:物品/动物] beaver | 河狸
[DOMAIN:标签] [CAT:物品/动物] beluga_whale | 白鲸
[DOMAIN:标签] [CAT:物品/食物] gelato | 意式冰淇淋
[DOMAIN:标签] [CAT:物品/其他物品] detergent | 清洁剂
[DOMAIN:标签] [CAT:物品/其他物品] hacking | 黑客攻击
[DOMAIN:标签] [CAT:物品/其他物品] armrest | 扶手
[DOMAIN:标签] [CAT:物品/其他物品] storage_pot | 储物罐
[DOMAIN:标签] [CAT:物品/学习用品] crayon_(medium) | 蜡笔（中号）
[DOMAIN:标签] [CAT:物品/动物] walrus | 海象
[DOMAIN:标签] [CAT:物品/动物] star_guardian_pet | 星之守护者宠物
[DOMAIN:标签] [CAT:物品/动物] scarab | 圣甲虫
[DOMAIN:标签] [CAT:物品/动物] gastrodon_(east) | 海兔兽（东海）
[DOMAIN:标签] [CAT:物品/食物] yule_log_(cake) | 圣诞树干（蛋糕）
[DOMAIN:标签] [CAT:物品/其他物品] wire_fence | 铁丝网
[DOMAIN:标签] [CAT:物品/其他物品] riding_machine | 骑行机器
[DOMAIN:标签] [CAT:物品/武器] clip_(weapon) | 弹夹（武器）
[DOMAIN:标签] [CAT:物品/其他物品] cinder_block | 煤渣砖
[DOMAIN:标签] [CAT:物品/其他物品] three-wheeler | 三輪車
[DOMAIN:标签] [CAT:物品/食物] fig | 无花果
[DOMAIN:标签] [CAT:物品/动物] mackerel_(fish) | 鲭鱼（鱼类）
[DOMAIN:标签] [CAT:物品/食物] caloriemate | 卡路里伴侣
[DOMAIN:标签] [CAT:物品/乐器] bagpipes | 风笛
[DOMAIN:标签] [CAT:物品/其他物品] advanced_ship_(eve_online) | 高级舰船（星战前夜）
[DOMAIN:标签] [CAT:物品/武器] gunbai | 军配
[DOMAIN:标签] [CAT:物品/其他物品] magic_carpet | 魔毯
[DOMAIN:标签] [CAT:物品/其他物品] nekobus | 猫巴士
[DOMAIN:标签] [CAT:物品/数码设备] vf-31 | VF-31
[DOMAIN:标签] [CAT:物品/餐具] beer_glass | 啤酒杯
[DOMAIN:标签] [CAT:物品/食物] dragon_fruit | 火龙果
[DOMAIN:标签] [CAT:物品/动物] heron | 苍鹭
[DOMAIN:标签] [CAT:物品/武器] catalyst_scimitar | 催化剂弯刀
[DOMAIN:标签] [CAT:物品/其他物品] paper_towel | 纸巾
[DOMAIN:标签] [CAT:物品/其他物品] choo_choo_train | 哐当火车
[DOMAIN:标签] [CAT:物品/其他物品] orbital_frame_(zone_of_the_enders) | 轨道框架（终极地带）
[DOMAIN:标签] [CAT:物品/武器] panzer_ii | 二号坦克
[DOMAIN:标签] [CAT:物品/动物] sea_monster | 海怪
[DOMAIN:标签] [CAT:物品/数码设备] lens_(arknights) | 透镜（明日方舟）
